type,name,adress,postal-code,city,geo-length,geo-width,open-houres,marks
POCZTA_POLSKA,FUP Puławy 1,Lubelska 18,24-112,Puławy,21.981315612793,51.4146575927734,"[{""day"":""MONDAY"",""from"":""10:00"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""10:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""10:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""10:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""10:00"",""to"":""20:00""}]",
POCZTA_POLSKA,FUP Łódź 9,Gdyńska 38,91-345,Łódź,19.4341926574707,51.7978935241699,"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""20:00""}]",
POCZTA_POLSKA,FUP Świnoujście 1,Juliana Markiewicza 2,72-611,Świnoujście,14.2298965454102,53.9006690979004,"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""19:00""},{""day"":""FRIDAY"",""from"":""09:00"",""to"":""20:00""}]",
POCZTA_POLSKA,FUP Łódź 71,Armii Krajowej 32A,94-046,Łódź,19.3983745574951,51.745979309082,"[{""day"":""WORKING"",""from"":""08:00"",""to"":""20:00""}]",
RUCH,PACZKA w RUCHu: LD-934273-87-18,RAWSKA 29,96-100,Skierniewice,20.146205,51.954122,"[{""day"":""MONDAY"",""from"":""07:00"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""07:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""07:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""07:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""07:00"",""to"":""17:00""},{""day"":""SATURDAY"",""from"":""07:00"",""to"":""14:00""}]",
POCZTA_POLSKA,UP Chojnice 2,Towarowa 6,89-620,Chojnice,17.5753688812256,53.6886825561524,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""18:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""20:00""}]",
RUCH,PACZKA w RUCHu: KT-934588-21-04,GŁÓWNA 57,44-187,Wielowieś,18.61571,50.5091,"[{""day"":""MONDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""SATURDAY"",""from"":""07:00"",""to"":""13:00""}]",
POCZTA_POLSKA,UP Chojna,Franklina Delano Roosevelta 2,74-500,Chojna,14.4379997253418,52.9598999023438,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""15:00""},{""day"":""WORKING"",""from"":""08:00"",""to"":""18:30""}]",
PACZKOMAT,Paczkomat GLS01N,Cieszyńska 18,43-440,Goleszów,18.73702,49.73481,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Lewiatan
PACZKOMAT,Paczkomat LOD04C,Limanowskiego 2,91-445,Łódź,19.45146,51.78662,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]","Z boku budynku TOPPLACES, za przystankiem"
PACZKOMAT,Paczkomat KRA37A,os. Jagiellońskie 19,31-834,Kraków,20.0272,50.08417,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Biedronka
PACZKOMAT,Paczkomat ZBR02A,Krakowska 232,32-080,Zabierzów,19.8141,50.11065,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Biedronka
RUCH,PACZKA w RUCHu: WR-939801-06-06,Krótka 1/11,58-500,Jelenia Góra,15.73537,50.90176,"[{""day"":""MONDAY"",""from"":""07:00"",""to"":""18:00""},{""day"":""TUESDAY"",""from"":""07:00"",""to"":""18:00""},{""day"":""WEDNESDAY"",""from"":""07:00"",""to"":""18:00""},{""day"":""THURSDAY"",""from"":""07:00"",""to"":""18:00""},{""day"":""FRIDAY"",""from"":""07:00"",""to"":""18:00""},{""day"":""SATURDAY"",""from"":""08:00"",""to"":""14:00""}]",
POCZTA_POLSKA_RUCH,Kiosk/Salonik RUCH,Królowej Jadwigi 6,14-200,Iława,19.5655002593994,53.5950012207031,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""20:00""},{""day"":""SUNDAY"",""from"":""10:00"",""to"":""19:00""},{""day"":""WORKING"",""from"":""09:00"",""to"":""20:00""},{""day"":""HOLIDAY"",""from"":""10:00"",""to"":""19:00""}]",
PACZKOMAT,Paczkomat LES534,Al. Konstytucji 3 Maja 12,64-100,Leszno,16.60011,51.82751,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy Galerii Leszno
PACZKOMAT,Paczkomat TRN02N,Wrocławska 10E,55-100,Trzebnica,17.05982,51.30205,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy sklepie Bricomarche
POCZTA_POLSKA,UP Chocianów 1,Pocztowa 12,59-140,Chocianów,15.9067077636719,51.4158706665039,"[{""day"":""SATURDAY"",""from"":""09:00"",""to"":""13:00""},{""day"":""WORKING"",""from"":""08:30"",""to"":""18:30""}]",
RUCH,PACZKA w RUCHu: KT-940718-57-39,Marcinkowicka 4,33-300,Nowy Sącz,20.6675,49.6303,"[{""day"":""MONDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""06:00"",""to"":""17:00""},{""day"":""SATURDAY"",""from"":""07:00"",""to"":""14:00""}]",
POCZTA_POLSKA,UP Olszówka,19/A,62-641,Olszówka,18.8470249176025,52.1884422302246,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""15:00""},{""day"":""FRIDAY"",""from"":""10:00"",""to"":""20:00""}]",
POCZTA_POLSKA,FUP Zamość 1,Szczebrzeska 35,22-403,Zamość,23.2266044616699,50.7142105102539,"[{""day"":""MONDAY"",""from"":""09:00"",""to"":""17:30""},{""day"":""TUESDAY"",""from"":""09:00"",""to"":""17:30""},{""day"":""WEDNESDAY"",""from"":""09:00"",""to"":""17:30""},{""day"":""THURSDAY"",""from"":""09:00"",""to"":""17:30""},{""day"":""FRIDAY"",""from"":""10:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat CZD352,Szkolna 40,43-502,Czechowice-Dziedzice,19.00177,49.92401,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy DH Dziedzic Zeta
PACZKOMAT,Paczkomat JGO554,Wojska Polskiego 13,58-500,Jelenia Góra,15.74617,50.90183,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy markecie Netto
POCZTA_POLSKA,UP Nowy Żmigród,Plac Generała Tadeusza Kościuszki 1,38-230,Nowy Żmigród,21.5229778289795,49.6034126281738,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""16:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""20:00""}]",
POCZTA_POLSKA,UP Dukla,Łąki 1,38-450,Dukla,21.6834049224853,49.5536422729492,"[{""day"":""MONDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""TUESDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""WEDNESDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""THURSDAY"",""from"":""08:00"",""to"":""17:00""},{""day"":""FRIDAY"",""from"":""08:00"",""to"":""20:00""}]",
PACZKOMAT,Paczkomat GNI02A,Sobieskiego 17,62-200,Gniezno,17.60732,52.53687,"[{""day"":""MONDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""TUESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""WEDNESDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""THURSDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""FRIDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SATURDAY"",""from"":""00:00"",""to"":""24:00""},{""day"":""SUNDAY"",""from"":""00:00"",""to"":""24:00""}]",Przy sklepie Carrefour
